id,sentence
1004370,si tsap si phinn sin ho lang jin bo beh tau se huann tsi it ba na e kam tong
1030921,ho ho ho lah a liau kua e lan to penn tsit su ho lah mai hau honnh kuai
1036233,kam kak khi lai na e u kam poh a iu tshiu guan lai khuann lo e guan in m si tso sio mih tai tsi
1053413,ting ki si kan kau ah tak ke kin khi hau ki sik tsun pi ting ki tsin tsing ai sing tshuan ho hoo tsiau kah ting ki tsing tsiau sun si pai tui kiam tsa liau tsiah lai ting ki
1066279,tha looh si tian hng e kak thau
1076059,tiann tiann long loh khi tshan te
1085019,lai tsia pai li honnh
1089024,bo lun pian si ia tian tai tak ke siann siann ku ku kam sia ui tai e bu tshin tak ke loo su iau
1111299,han tsing li tsin tsiong ka siau e ke khuann khuann leh ka kong siau liam e li tsai iann bo gua e inn a tsiah sann liap bian tsinn neh
1160376,bo ka li phianThree m e tshai kue poo sit tsai u kau ho iong e lah na tsun kong li u su iau honnh e tang ui gua tsia theh kui te a tng khi lu khuann mai
1171103,gua khuann tioh ti ا
1177083,i khi ia e mih kiann kai ho thau bian gua ku to tau e ho
1211950,an ne bin a tsai kam kang khuan si tsit liap tsit kak gin nng liap nng kak gin sann liap tsiah bian tsinn leh u lang an ne mng
1255001,iau m koh tai uan tian iann si gua e senn mia bo lun an tsuann gua ing an long be hong khi
1271619,thau ke a m thang lah
1306224,ti hia khuann e lang iah si sam sam ngoo ngoo tshinn tshinn tsng tsng
1329910,tak ke long kau ah lan lai khi thing sa hng tsiunn tshia
1342564,bu ah li khuann leh tsiok sui tsiok koo tsui e iunn tsong neh lang beh ti tsit su lah tsau gin a ki tui po le tu lai te
1368861,tue put tsu lah gua m tsai to loh teh sit tioh li honnh soo pe a tsiann se ji an ne ka in
1375027,soo i gua be kah li ke kau
1381403,tsu hong be tang pai thik sin lo ah si khi in thau loo e lang kong tai gi
1400685,e a tsia long koh ting tian khi lai
1410593,li kong leh
1413971,sann ting long tah bu te bo boo siann mih long khuann bo
1583587,tshian pa lah si gun a kong khah tsa siong ai khuann e hi
1600074,tui Putin lai kong tse tai piau i kiong nge tui khong gi kok kah au tsiu teh tioh sing li
1616700,ngoo khuann be tshut lai gua sia e tsok bun si to tsit tiam bo ho
1669485, sit e ooh
1687229,iau kiu khah ho e sia hue tsing tshik
1706797,ho
1722532,bo lun lu ho li gua i king tsit tui ho tsing phuann
1724838,senn ai tsit sin bun lang tsng e phio tng tann thian liau oo i gin ui tsin u si tai i gi
1751457,ho lin pe beh ka ui ui khi lai
1857947,gua u khuann tioh
1872917,tsiong tian loo e phah tseh long si ke e kin pun bo siok gua tse
1900349,na si a bi tiann tiann sing tui tshut hian m koh a au piah e tsiah pi i gua e su li thau tsing ma kho ling e tsiah a i gua e su
1906111,thann kong gin a lang koo u a khah gau ua
1950482,un tsiunn si kan tan e peh tshoo ka suan jiong
1952173,mai an ne bo lai bo tsi to ka lang phng
1967937,tsit uann png ling ling
2060315,u lang ti leh bo u lang ti leh bo ah
2103803,koh sann tso si hioh phun
2307601,me iong ing hun kah lang koo tong e si tsun li iong tsiah e gi su kau tshut tsit ku lan liah tso e thong e ing bun ku m koh kong ing gi e lang kho ling sah bo niau a mng
2324957,hai ang tai i bun hang gueh khan e it pa khong ji ki
2330115,tsiat hoo tsuan se ka tiong pang to tioh bin khuann tshat kan lai u tu li e kiat khong
2386584,mh
2394564,guan kiann tshing XX loo e kam e sai hoo gun tshi tshing
2445369,long si li tsit e tua khoo tai tsiah ka gua senn tsit e khong khiann
2501234,gua e ka a kong tshua lai khi tshai tshi a
2548825,kin lai kuai liau an tsuann
2596748,tah bong si tshiu na siong sui e si tsun bong tsiong it tshe khoo tso tsit hue bo gua bo li
2600889,giak bi lai hong hiong
2609074,eh tsau kau khuan ni bo long penn
2619738,phann tai tshu huainn tsuan khi thang hong e tsong goo sat tun guat hiong
2666049,a lin peh a m ho ah lah lin tsa boo kiann kui tshi a tsang ting puah loh lai
2686359,poh oo ah tsit e tua mng honnh koh ka tian khah kuan leh
2708885,lan nng e ti hiau si sin sut tsit si beh kong siannh
2714733,gua kong i tsit e koo hun kau ah hun too e beh kah i kong ue li tsit ma si siang khai too ah
2726055,li tioh ai khun khun hoo pa
2738050,hai kong ma he
2767681,lin kiam bo kong kia u si ge jit tsiu siunn kua e si kau mah gua ka lin kong giah kah khuann nng i king sik thang kua lah
2769096,li iong i e kua siann kah hian a bi miau e suan lut ka ping an ham hing hok thuan tat tshut khi
2791411,bo gua sit e
2796616,sua loh lai beh lai siau kai hue ling ki e an tsuan siat pi to sing mng ti hue ling ki e nng ping sa tsoo am ti thau khak ting hiu sing i ti i a kha
2852459,thau tiunn siann mih tai tsi
2861550,it tioh hai e lah
2863047,sat bak a tu liau kau tshi i gua koh u siann mih tioh sik
2897804,e sai tsiah tsinn e na si be sai
