id,sentence
1004370,si tsap si phinn sin ho lang jin bo beh tau se huann ji it ma ma e kam tong
1030921,ho ho ho lah ah liau kuai lan to peh tshit su ho lah mai hau honnh kuai
1036233,kam kak khi lai na e u tam poh a iu tshiu guan lai khuann loo e guan in m si tso sio mih tai tsi
1053413,ting ki si kan kau ah tak ke kin khi hau ki sik tsun pi ting ki tsin tsing ai sing tshuan kho hoo tsiau kah ting ki tsing tsiau sun si pai tui kiam tsa liau tsiah lai ting ki
1066279,phah looh si tian hng e kak khau
1076059,tiam tiam loh loh khi tshan te
1085019,lai tsiah bai ti honnh
1089024,bo lun pian si iah tian tai tak ke sia sia ku ku kam sia ui tai e bu tshin tak ke loo su iau sann
1111299,han tsing li tsin tsiong ka siau lian ke khuann khuann leh ka kong siau lian leh li tsai iann bo gua e inn a tsiah sann liap bian tsinn neh
1160376,bo ka li phianThree m e tshai kue poo si tsai u kau ho iong e lah na tsun kong li u su iau honnh e tang ui gua tsia theh kui te a tng khi lu khuann mai
1171103,gua khuann tioh ti a
1177083,Ikea e mih kiann kai ho tau bian gua ku to tau e ho
1211950,an ne bin a tsai kam kang khuan si tsit liap tsit kak gin nng liap nng kak gin sann liap tsiah bian tsinn leh u lang an ne mng
1255001,iau m koh tai uan tian iann si gua e senn mia bo lun an tsuann gua ing an long be hong khi
1271619,thau ke ah m thang lah
1306224,ti hia khuann e lang iah si sam sam ngoo ngoo tshinn tshinn tsng tsng
1329910,tak ke long kau lah lan lai khi thing tshah inn tsiunn tshia
1342564,bu ah li khuann leh tsiok sui tsiok koo tsui e iunn tsong neh lang beh ti tsit su lah tsau gin a ki tui po le tu lai te
1368861,tui put tsu lah gua m tsai to loh teh sit tioh li honnh soo peh a tsiann se ji an ne ka in
1375027,soo i gua be kah li ke kau
1381403,tsu hong be kang pai tship sin lo ah si khi in thau loo e lang kong tai gi
1400685,e a tsia long koh ting ting khi lai
1410593,li kong leh
1413971,sua ting long tah bu te bo bok siann mih long khuann bo
1583587,tshian pah lah si gun a kong khah tsa siong ai khuann e hi
1600074,tui Putin lai kong tse tai piau i kiong nge tui khong gi kok kah au tsiu tit tioh sing li
1616700,u khuann be tshut lai gua sia e tsok bun si to tsit tiam bo ho
1669485,sit e eh ooh
1687229,iau kiu khah ho e sia hue tsing tshik
1706797,ho
1722532,bo lun lu ho li gua i king tsit tui ho tsing phuann
1724838,snaiz si bun bang tsap e khioh tng ka khin leh au koo i jin ui tsin u si tai i gi
1751457,ho lin pe beh ka ui ui khi lai
1857947,gua u khuann tioh
1872917,siunn kian loo e phah tsiat long si ke kin pun bo siunn gua tse
1900349,na si a B tiann tiann sing tui tshut hian m koh a au piah e tsiap B i gua e su B thau tsing ma kho ling e tsiap a i gua e su
1906111,thiann kong hiann lang koo u a khah lau gua
1950482,uan tsiunn si kan tan e peh tshoo ka suan iong
1952173,mai an ne bo lai bo tsih to tai lang phng
1967937,tsit uann png ling ling
2060315,u lang ti leh bo u lang ti leh bo ah
2103803,koh sann tso sih hioh phun
2307601,mai iong ing bun kah lang koo thong e si tsun li iong tsia e gi su tau tshut tsit ku lan liah tso e thong e ing bun ku m koh kong ing gi e lang kho ling sa bo niau a mng
