id,sentence
1004370,si tsap si phinn sin ho lang jin bo beh tau se uann ji it ma na e kam tong
1030921,ho ho ho lah ah biau kuai lan to beh tshit su ho lah mai hau honnh kuai
1036233,kam kak khi lai na e u tam poh a iu tshiu guan lai khuai lok e guan in m si tso sio mih tai tsi
1053413,ting ki si kan kau ah tak ke kin khi hau ki sik tsun pi ting ki tsin tsing ai sing tshuan ho hoo tsiau kah ting ki tsing tsiau sun si pai tui kiam tsa liau tsiah lai ting ki
1066279,ha ooh si tian hng e kak thau
1076059,tiah tiann loh loh khi tshan te
1085019,lai tsiah lai ti honnh
1089024,bo lun pian si ia tian tai tak ke sia sia ku ku kam sia ui tai e bu tshin tak ke loo su iau
1111299,han tsing li tsin tsiong ka siau lian ke khuann khuann leh ka kong siau lian leh li tsai iann bo gua e inn a tsiah sann liap ian tsinn neh
1160376,bo ka li phian 3M e tshai kue poo sit tsai u kau ho iong e lah na tsun kong li u su iau honnh e tang ui gua tsia theh kui te a tng khi lu khuann mai
1171103,gua khuann tioh ti a
1177083,i khi ah e mih kiann kai ho tau bian gua ku to tau e ho
1211950,an ne bin a tsai kam kang khuan si tsit liap tsit kak gin nng liap nng kak gin sann liap tsiah bian tsinn leh u lang an ne mng──
1255001,iau m koh tai uan tian iann si gua e senn mia bo lun an tsuann gua ing uan long be hong khi
1271619,thau kheh ah m thang lah
1306224,ti hiah khuann e lang iah si sam sam ngoo ngoo tshinnh tshinnh tsng tsng
1329910,tak ke long kau ah lan lai khi thing tsham tiunn tshiunn tshia
1342564,bu ah li khuann leh tsiok sui tsiok koo tsui e iunn tsong neh lang beh ti tsit su lah tsau gin a ki tui po le tu lai te
1368861,tue put tsu lah gua m tsai to loh teh sit tioh li honnh soo hue a tsiann se ji an ne ka in
1375027,soo i gua be kah li ke kau
1381403,tsu hong te kang pai thik sin lo ah si khi in thau loo e lang kong tai gi
1400685,e a tsia long koh ting ting khi lai
1410593,li kong leh
1413971,sann ting long tah bu te bo bo siann mih long khuann bo
1583587,tshian pa lah si gun a kong khah tsa siong ai khuann e hi
1600074,tui Putin lai kong tse tai piau i kiong nge tui khong gi kok kah au tsiu teh tioh sing li
1616700,gua khuann be tshut lai gua sia e tsok bun si to tsit tiam bo ho
1669485,sit e e ooh
1687229,iau kiu khah ho e sia hue tsing tshik
1706797,ho
1722532,bo lun lu ho li gua i king tsit tui ho tsing phuann
1724838,slai tsit si bun bang tsng e khioh kng tann thin liau koo i jin ui tsin u si tai i gi
1751457,ho lin pe beh ka ui ui khi lai
1857947,gua u khuann tioh
1872917,tsiong kian loo e phah tse long si ke e kin pun bo siok gua tse
1900349,na si a B tiann tiann sing tui tshut hian m koh a au piah e tsiap B i gua e su B thau tsing ma kho ling e tsiap a i gua e su
1906111,thang kong li a lang koo u a khah gau gua
1950482,un tsiunn si kan tan e peh tshoo ka suan jiong
1952173,mai an ne bo lai bo tsih to ta lang png
1967937,tsit uann png ling ling
2060315,u lang ti leh bo u lang ti leh bo ah
2103803,koh sann tso sin hioh phun
2307601,me liong ing bun kau ang koo thong e si tsun li iong tsia e gi su kau tshut tsit ku lan liah tso e thong e ing bun ku m koh kong ing gi e lang kho ling sa bo niau a mng
2324957,hai ang tai gi bun ha gueh khan e tsit pah khong ji ki
2330115,tsiat khoo tshuan se e ka ping pang ho tian bin khuann tsap kan thai u tu li e ian hiong
2386584,mh
2394564,gun kiann tshiang XXXL e kann be sai hoo gun tshi tshing
2445369, long si li tsit e tua khoo tai tsia ka gua senn tsit e khong khiann
2501234,gua e ka a kong tshua lai khi tshai tshi a
2548825,kin lai kue liau an tsuann
2596748,tah bong si tshiu na siong sui e si tsun bong tsiong it tshe khoo tso tsit hue bo gua bo li
2600889,giap bi lai hong hiong
2609074,eh ka kak kai ka ni bo hong pian
2619738,thann tai tshu huainn tsuann khi thann hong e te tsong goo sat kong guat hing
2666049,a lim peh a m ho ah lahlan tsa boo kiann ui tshiha tsang ting puah loh lai
2686359,po oo ah tsit e tua mng honnh koh ka ting khah kuan leh
2708885,beh nng e pi hiau si si su tsit tsit e kong siannh
2714733,gua kong bi tsit e koo hun kau ah hun tua ue beh kah li kong ue li tsit ma si siann thai too ah
2726055,lin tioh ai khun khun hoo pa
2738050,hai kong ma he
2767681,lin kiann bo kong kia u si ge jit tsiu siunn kua e si kau mah gua ka lin kong giah kah khuann hng i king sik thang kua lah
2769096,li iong i e kua siann kah hian a e bi miau e suan lut ka ping an ham hing hok thuan tat tshut khi
2791411,bo gua si le
2796616,suah loh lai beh lai siau kai hue ling ki e an tsuan siat pi to sing mng ti hue ling ki e nng ping sann tsoo am ti thau kah ting hio sing i ti i a kha
2852459,thau tiunn siann mih tai tsi
2861550, it ting ai e lah
2863047,sat bak a tu liau kau tshi i gua tu u siann mih tik sik
2897804,e sai tsiann tsinn e na si be sai
2919291,lau hiann ti ooh puah loo koh puah loo khi ah koh m thang tua se siann e
2931209,tua hit tsam pi tsit tsun jit tsi ke luah hing hok leh
2995543,long hoo se hong gui the khuann sng si sin tsing khuan tui gua tsing tshik khut lok lip tsik kik e piau hian
3018066, tik hua tui khong e ok ki sit si ko tsing li ka ti tsing ka khoo ka e huan lik
3037760,gua e sim
3044652,i lai kauCore Bill e na lai
3091038,ma mah bo peh thiann li
3093659,an ne siu kai u e bo bun te poo hun kho ling u bun te
3115433,ah li be gua thoo lui si li long tioh gua e neh
3137634,peh pah khong ka khi iah gam tsioh iu kah tian kin kong tian tian ui Google
3140469,tsit e ki khi lang e TTS si iong HTS ah si Thakurthong thuh tso e
3145309,thoo kha too jiu ho u liu siu tioh senn ji liau liau a kiann
3169009,ki e pue hng peh e be te
3178831,tshiann mng e te to tsit ku e kong huat lan tai gi be an ne kong
3211378,mui tsit e lang long si tok lip e mui tsit e lang long u ka ti e sing uah king giam kah ti sik
3230934,thng siunn tinn gua bo se ji tsiap tioh li e khoo
3232546,i ka te sann liap inn a ma tsiah tsiah loh khi na tsiah koh na oh loh kong uah hoo tsu tshut si kau tann m bat tsiah tui tsiah ni phang e inn a neh
3253943,kiam kiann tsiah kah khauh khauh khioh
3267804,lan tsit tsun ti lua kang ai ni tiam puann tsiann
3295270,khi lai tsa boo ho
3305210,kak hue a li u iann tsiok sui e liok gun long tsiok him sian kiok kah i li liok un thong sann khui tshui ka o lo
3317495,ti jit pun sa kut a khui e hit tang tsun khui phiann ang ki ki kai sui
3384897,ah beh
3404058,tsap ji pue a siak khuah kam u iau kin
3422133,thau tsing kong ui tioh pi se teh sia hioh uan a si nua thau lan to m si to le go ah si u iann leh the iau i hia e tsiong kim
3447981,ho un lah
3470920,li tso ho e PTT sing kia tsit hun hoo gua phinn phang tsit e ho bo
3483233,koh le khi sing te uah beh loo si
3494380,phinn ii hiong e sng tshoo sim piah thang hue e pang hoo tshoo tsong e u hit kang siok li pho si pua e bang
3513041,ng thau tshai
3516779,li e phainn khu bong khi lai iu iu iu be sun a gin a leh
3520359,kuan ho ka ki e tai tsi to holan bo tsai tiau kuan pat lang e ing a tai
3523962,ma thann a
3535048,khah siu lai kui leh phue poo poo
3537894,ma tsha khui e hiunn kong jian si he ku
3605681,gua a put lah e ing tsit su
3618546,tshiu lai theh hit tiunn phue tsua na thak bak sai na thut thut ti
3667746,i tshiann gua bo nng bai to khang hue ah
3689268,lau gua ko sann pe giap e ing gi tsuan giap thang ng ni
3699970,in tau e tian hue long uah e looID eke tsiann kng e
3740638,tsan sing tsia o lo i kiann hu sit too suann m koh kiong ko tong tiunn kong hue ka te tse
3754174,be i tsinn kuai leh tue ang tsau ah
3759954,li kam iau koh u ki thang e hong huat lai tso tong siu huat
3826063,i tsing li tai gi su lui tso m si tse si tua kang ting ma su iau siong se e kui ue
3835742,he tian tong tshia honnh tsau be tin tang in kai si bo tian a ai ka ba te lih theh tshut lai tshiong tian tsit e
3911163,tshi hu khau bah teh lin kui pue a ho bo
3949192,kiok kong ni tai khuann kun e tsu liau khoo ma khai si khi tai uan thiong kok ting soo tsai kian lip
3982394,lan kin lai tsiah png lah
4002232,oo too bai si tshiann ping siong e kau thong kang khu tsuan tai uan tshue bo lang be hiau khia oo too bai e
4141604,li e hak tiam khuai iau kin
4182998,tiam tiam ti pinn a tso bo su jin
4189247,ke lang bio khau e thian pu lah siong u mia
4212496,li tsit e ho tse te
4217463,tsit siang bue a
4309557,li kik lun tsok tsia kong Obama e iu tiam si i tsu tiong su iong king tse kah gua kau e lik liong
4326594,si an tsuann in e tang khuann bian tsinn e gun be iong jit a
4331509,hainn gin a lang u hinn bo tshui m ho oo peh png
4336860,lai hang lang o loo u sing ui gua hang e kong ua ok siak siak
4381350,bian koh pian han kah ni te li tsinn li to hai gua lah
4412195,i kiann tai bin sik pe sut sut
4414149,in ho jit e ting hun ko honnh kam e sai siann li the gua ka si kua tong tshong an nai khi in e ui a ho bo
4429397,li sing thiann sui khi tan kheh ting a
4457974,tse to tso sing m na si kann lak siunn kheh kui hiong siunn kuan kuan li siunn khun lan iah iann tsiah tse lang khi kuainn
4521894,tsit ma ma si kang khuan mah
4537848,tsioh gua tsit kha su li pah phah kat tsua
4552098,gua khi tai tshia tsue kin tse ka si leh phai liah tsuan kong uann kue
4569283,li tshiu ng lik khi lai sun sua ka li pong hui ap
4629126,ai jiong sim ka ti it ting phainn tioh lang ping iu
4649276,ui tioh siau loo tshi tiunn tua lat thui sak kik tuan e siau hui tsu gi hoo lang tsit si a to sui tiau ti bo pit iau e khai siau
4668505,a tsui peh a sang hoo gua sann tsap pau thng a
4669074,li hit lo ga suh kam u kuainn u ga suh bi tsau tshut lai
4670610,tsit e phang lai te khu li mu iau khah sio sio gin a lang un ai tsiah e
4683343,aih ioh
