id,sentence
1004370,si tsap si phinn sin ho lam jin bo beh tau se huann ji it ma na e kam tong
1030921,ho ho ho lah a biau kuai lan to bian tshit su ho lah mai hau honnh kuai
1036233,kan giap khi lai na e u tam po a iu tshiu guan lai khuann loo e guan in m si tso sio ui tai tsi
1053413,ting ki si kan kau ah tak ke kin khi hau ki sik tsun pi ting ki tsin tsing ai sing tshuan kho hoo tsiau kah ting ki tsing tsiau sun si pai tui kiam tsa liau tsiah lai ting ki
1066279,ha ooh si tian hng e kak khau
1076059,tia tiann joh bo khi tshan te
1085019,lai tsiah bai khi honnh
1089024,bo lun pian si ia tian tai tak ke sia sia ku ku kam sia ui tai e bu tshin tak ke loo su iau，
1111299,han tsing li tsit tsiunn ka siau lian ke uann khuann leh ka kong siau lian leh li tsai iann bo gua e inn a tsiah sann liap bian tsinn neh
1160376,bo ka li phian 3M e tshai kue poo si tsai u kau ho iong e lah na tsun kong li u su iau honnh e tang ui gua tsia theh kui te a tng khi lu khuann mai
1171103,gua khuann tioh ti a
1177083,i khi ah e mih kiann thai ho tau bian gua ku to tau e ho
1211950,an ne bin a tsai kam kang khuan si tsit liap tsit kak gin nng liap nng kak gin sann liap tsiah bian tsinn leh u lang an ne mng sik e
1255001,iau m koh tai uan tian iann si gua e senn mia bo lun an tsuann gua ing uan long be hong khi
1271619,thau ke ah m thang lah
1306224,ti hia khuann e lang iah si sam sam ngoo ngoo tshinnh tshinnh tsng tsng
1329910,tak ke long kau lah lan lai khi thing sa tiunn tsiunn tshia
1342564,bu ah li khuann leh tsiok sui tsiok koo tsui e iunn tsoo neh lang beh ti tsit su lah tsau gin a ki tui po le tu lai te
1368861,tui put tsu lah gua m tsai to loh teh sit tioh li honnh soo pe a tsiann se ji an ne ka in
1375027,soo i gua be kah li ke kau
1381403,tsu hong te tang pai thik sin lo ah si khi in thau loo e lang kong tai gi
1400685,e a tsia long koh ting tian khi lai
1410593,li kong leh
1413971,sua ting long tah bu te bo moo siann mih long khuann bo
1583587,tshian pat lah si gun a kong khah tsa siong ai khuann e hi
1600074,tui Putin lai kong tse tai piau i kiong nge tui khong gi kok kah au tsiu tit tioh sing li
1616700,ng khuann be tshut lai gua sia e tsok bun si to tsit tiam bo ho
1669485,sit le ooh
1687229,iau kiu khah ho e sia hue tsing tshik
1706797,ho
1722532,bo lun lu ho li gua i king tsit tui ho tsing phuann
1724838,snaits si bun lang tsan e khia tng ka khin leh au koo i jin ui tsin u si tai i gi
1751457,ho lin pe beh ka ui ui khi lai
1857947,gua u khuann tioh
1872917,siok kiann loo e phah tsiat long si ke kin bun bo siok gua tse
1900349,na si a B tiann tiann sing tui tshut hian m koh a au piah e tsiap B i gua e su B thau tsing ma kho ling e tsiap a i gua e su
1906111,thiann kong gin a lah koo u a khah gau gua
1950482,un tsiunn si kan tan e pe tshoo ka suan jiong
1952173,mai an ne bo lai bo ci toi la lang phng
1967937,tsit uann png ling ling
2060315,u lang ti leh bo u lang ti leh bo ah
